timestamp,message,data
2025-07-05T17:18:58.620Z,"❌ Failed to get video directory","{""error"":""window.showDirectoryPicker is not a function""}"
2025-07-05T17:18:58.620Z,"📹 Fetching raw video from Pexels","{""timestamp"":215.72499999403954}"
2025-07-05T17:18:58.621Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":216.02500000596046}"
2025-07-05T17:18:58.621Z,"📹 Fetching raw video from Pexels","{""timestamp"":216.3250000178814}"
2025-07-05T17:18:58.621Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":216.50499999523163}"
2025-07-05T17:18:58.621Z,"📹 Fetching raw video from Pexels","{""timestamp"":216.7800000011921}"
2025-07-05T17:18:58.622Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":216.96000000834465}"
2025-07-05T17:18:58.622Z,"📹 Fetching raw video from Pexels","{""timestamp"":217.2300000190735}"
2025-07-05T17:18:58.622Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":217.40999999642372}"
2025-07-05T17:18:58.622Z,"📹 Fetching raw video from Pexels","{""timestamp"":217.6700000166893}"
2025-07-05T17:18:58.622Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":217.86500000953674}"
2025-07-05T17:18:58.623Z,"📹 Fetching raw video from Pexels","{""timestamp"":218.125}"
2025-07-05T17:18:58.623Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":218.30500000715256}"
2025-07-05T17:18:58.623Z,"🚀 ForeverMosh component mounted","{""timestamp"":""2025-07-05T17:18:58.623Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36""}"
2025-07-05T17:18:58.624Z,"❌ Failed to get video directory","{""error"":""window.showDirectoryPicker is not a function""}"
2025-07-05T17:18:58.624Z,"📹 Fetching raw video from Pexels","{""timestamp"":219.36000001430511}"
2025-07-05T17:18:58.624Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":219.5300000011921}"
2025-07-05T17:18:58.624Z,"📹 Fetching raw video from Pexels","{""timestamp"":219.8100000023842}"
2025-07-05T17:18:58.625Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":220}"
2025-07-05T17:18:58.625Z,"📹 Fetching raw video from Pexels","{""timestamp"":220.26000002026558}"
