timestamp,message,data
2025-07-05T06:27:34.876Z,"🎭 Step 6.2a: Processing additional video","{""timestamp"":1274890.975000009}"
2025-07-05T06:27:34.876Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1274891.0100000054}"
2025-07-05T06:27:34.881Z,"🎭 Step 6.2b: Computing chunks for additional video","{""timestamp"":1274895.2700000107}"
2025-07-05T06:27:59.091Z,"🎭 Step 6.4c: Additional video chunks computed","{""chunkCount"":493,""timestamp"":1299105.6400000006}"
2025-07-05T06:27:59.092Z,"🎭 Step 6.5: Processing video raw-video-1751695581338-1085656","{""videoIndex"":4,""videoId"":""raw-video-1751695581338-1085656"",""timestamp"":1299105.8200000077}"
2025-07-05T06:27:59.092Z,"🎭 Step 6.5a: Processing additional video","{""timestamp"":1299105.8900000006}"
2025-07-05T06:27:59.092Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1299105.9600000083}"
2025-07-05T06:27:59.096Z,"🎭 Step 6.5b: Computing chunks for additional video","{""timestamp"":1299109.9650000036}"
2025-07-05T06:29:08.307Z,"🎭 Step 6.5c: Additional video chunks computed","{""chunkCount"":588,""timestamp"":1368320.175000012}"
2025-07-05T06:29:08.307Z,"🎭 Step 6.6: Processing video raw-video-1751695581343-2330708","{""videoIndex"":5,""videoId"":""raw-video-1751695581343-2330708"",""timestamp"":1368320.325000003}"
2025-07-05T06:29:08.307Z,"🎭 Step 6.6a: Processing additional video","{""timestamp"":1368320.3800000101}"
2025-07-05T06:29:08.307Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1368320.4300000072}"
2025-07-05T06:29:08.311Z,"🎭 Step 6.6b: Computing chunks for additional video","{""timestamp"":1368324.400000006}"
2025-07-05T06:29:16.256Z,"🎭 Step 6.2c: Additional video chunks computed","{""chunkCount"":1000,""timestamp"":1376268.875}"
2025-07-05T06:29:16.256Z,"🎭 Step 6.3: Processing video raw-video-1751695581275-2711092","{""videoIndex"":2,""videoId"":""raw-video-1751695581275-2711092"",""timestamp"":1376269.0050000101}"
2025-07-05T06:29:16.256Z,"🎭 Step 6.3a: Processing additional video","{""timestamp"":1376269.1150000095}"
2025-07-05T06:29:16.256Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1376269.1700000018}"
2025-07-05T06:29:16.258Z,"🎭 Step 6.3b: Computing chunks for additional video","{""timestamp"":1376271.1300000101}"
2025-07-05T06:29:32.925Z,"❌ Processing failed","{""error"":""Processing timeout after 3 minutes"",""videoId"":""raw-video-1751695581252-2802271"",""audioId"":""raw-audio-1751695581700-396968"",""preset"":{""name"":""Blends"",""type"":""blends""}}"
2025-07-05T06:29:32.925Z,"🎭 Discarding failed video","{""reason"":""moshing failed, removing from queue"",""videoId"":""raw-video-1751695581252-2802271""}"
2025-07-05T06:30:32.931Z,"🎭 Processing queue item","{""video"":""raw-video-1751695581256-3796274"",""audio"":""raw-audio-1751695581776-9695"",""preset"":{""name"":""Blends"",""type"":""blends""},""queueLength"":1,""timestamp"":1452942.9450000077}"
2025-07-05T06:30:32.931Z,"🎭 Starting Blends processing","{""primaryVideo"":""raw-video-1751695581256-3796274"",""audio"":""raw-audio-1751695581776-9695"",""availableVideos"":4,""audioName"":""suonho_ScaryScape_01.wav"",""timestamp"":1452943.1400000006}"
2025-07-05T06:30:32.932Z,"🎭 Step 1: Setting up FFmpeg","{""timestamp"":1452943.3050000072}"
2025-07-05T06:30:32.932Z,"🎭 Step 2: Loading FFmpeg core","{""timestamp"":1452943.600000009}"
2025-07-05T06:30:33.070Z,"🎭 Step 3: FFmpeg loaded successfully","{""timestamp"":1453081.5050000101}"
2025-07-05T06:30:33.070Z,"🎭 Step 4: Building Blends preset segments","{""timestamp"":1453081.625}"
2025-07-05T06:30:33.070Z,"🎭 Step 5: Gathering available videos","{""availableVideosCount"":5,""rawVideoQueueLength"":4,""timestamp"":1453081.675000012}"
2025-07-05T06:30:33.070Z,"🎭 Step 6: Processing videos","{""videosToProcess"":5,""timestamp"":1453081.7200000137}"
2025-07-05T06:30:33.070Z,"🎭 Step 6.1: Processing video raw-video-1751695581256-3796274","{""videoIndex"":0,""videoId"":""raw-video-1751695581256-3796274"",""timestamp"":1453081.800000012}"
2025-07-05T06:30:33.070Z,"🎭 Step 6.1a: Processing main video","{""timestamp"":1453081.850000009}"
2025-07-05T06:30:33.070Z,"🎭 Downloading main video (no cached blob)","{""timestamp"":1453081.9050000012}"
2025-07-05T06:30:33.073Z,"🎭 Step 6.1b: Computing chunks for main video","{""timestamp"":1453084.6099999994}"
2025-07-05T06:30:38.431Z,"🎭 Step 6.6c: Additional video chunks computed","{""chunkCount"":661,""timestamp"":1458442.6850000024}"
2025-07-05T06:30:38.431Z,"🎭 Step 6.7: Processing video raw-video-1751695581559-855623","{""videoIndex"":6,""videoId"":""raw-video-1751695581559-855623"",""timestamp"":1458442.8400000036}"
2025-07-05T06:30:38.431Z,"🎭 Step 6.7a: Processing additional video","{""timestamp"":1458442.900000006}"
2025-07-05T06:30:38.431Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1458442.9400000125}"
2025-07-05T06:30:38.434Z,"🎭 Step 6.7b: Computing chunks for additional video","{""timestamp"":1458445.4800000042}"
2025-07-05T06:30:41.098Z,"🎭 Step 6.3c: Additional video chunks computed","{""chunkCount"":493,""timestamp"":1461109.0350000113}"
2025-07-05T06:30:41.098Z,"🎭 Step 6.4: Processing video raw-video-1751695581338-1085656","{""videoIndex"":3,""videoId"":""raw-video-1751695581338-1085656"",""timestamp"":1461109.1700000018}"
2025-07-05T06:30:41.098Z,"🎭 Step 6.4a: Processing additional video","{""timestamp"":1461109.225000009}"
2025-07-05T06:30:41.098Z,"🎭 Downloading additional video (no cached blob)","{""timestamp"":1461109.2700000107}"
2025-07-05T06:30:41.100Z,"🎭 Step 6.4b: Computing chunks for additional video","{""timestamp"":1461111.9800000042}"
2025-07-05T06:31:08.353Z,"🎭 Step 6.7c: Additional video chunks computed","{""chunkCount"":241,""timestamp"":1488364.3850000054}"
2025-07-05T06:31:08.353Z,"🎭 Step 7: Building segments with multiple videos","{""segmentsCount"":7,""videosAvailable"":7,""timestamp"":1488364.5300000012}"
2025-07-05T06:31:08.354Z,"🎭 Step 8: Building final chunks array","{""timestamp"":1488364.6450000107}"
2025-07-05T06:31:08.354Z,"🎭 Built chunks array","{""originalChunks"":283,""processedChunks"":283,""segments"":[{""from"":0,""to"":39,""repeat"":1,""chunkCount"":39,""audio"":""configured""},{""from"":38,""to"":44,""repeat"":8,""chunkCount"":48,""audio"":""configured""},{""from"":4,""to"":50,""repeat"":1,""chunkCount"":46,""audio"":""configured""},{""from"":48,""to"":55,""repeat"":8,""chunkCount"":56,""audio"":""configured""},{""from"":53,""to"":57,""repeat"":5,""chunkCount"":20,""audio"":""configured""},{""from"":90,""to"":120,""repeat"":1,""chunkCount"":30,""audio"":""configured""},{""from"":118,""to"":122,""repeat"":11,""chunkCount"":44,""audio"":""configured""}]}"
2025-07-05T06:31:08.354Z,"🎭 Step 9: Starting recordWithAudio","{""timestamp"":1488364.8599999994}"
2025-07-05T06:31:08.354Z,"🎭 Moshing progress","{""progress"":0,""timestamp"":1488365.3599999994}"
2025-07-05T06:31:08.689Z,"🎭 Moshing progress","{""progress"":2,""timestamp"":1488699.580000013}"
2025-07-05T06:31:09.022Z,"🎭 Moshing progress","{""progress"":5,""timestamp"":1489032.8400000036}"
2025-07-05T06:31:09.355Z,"🎭 Moshing progress","{""progress"":7,""timestamp"":1489366.1650000066}"
2025-07-05T06:31:09.689Z,"🎭 Moshing progress","{""progress"":10,""timestamp"":1489699.850000009}"
2025-07-05T06:31:10.022Z,"🎭 Moshing progress","{""progress"":12,""timestamp"":1490032.8200000077}"
2025-07-05T06:31:10.355Z,"🎭 Moshing progress","{""progress"":15,""timestamp"":1490366.175000012}"
2025-07-05T06:31:10.688Z,"🎭 Moshing progress","{""progress"":17,""timestamp"":1490699.5100000054}"
2025-07-05T06:31:11.022Z,"🎭 Moshing progress","{""progress"":20,""timestamp"":1491032.8350000083}"
2025-07-05T06:31:11.355Z,"🎭 Moshing progress","{""progress"":22,""timestamp"":1491366.1600000113}"
2025-07-05T06:31:11.688Z,"🎭 Moshing progress","{""progress"":25,""timestamp"":1491699.4950000048}"
2025-07-05T06:31:12.022Z,"🎭 Moshing progress","{""progress"":27,""timestamp"":1492032.8200000077}"
